song,artist,year
Drivers License,Olivia Rodrigo,2021
34+35,Ariana Grande,2021
Calling My Phone,Lil Tjay Featuring 6LACK,2021
Blinding Lights,The Weeknd,2021
Up,Cardi B,2021
Save Your Tears,The Weeknd,2021
Mood,24kGoldn Featuring iann dior,2021
Go Crazy,Chris Brown & Young Thug,2021
Levitating,Dua Lipa Featuring DaBaby,2021
Positions,Ariana Grande,2021
Love Story (Taylor's Version),Taylor Swift,2021
What You Know Bout Love,Pop Smoke,2021
Therefore I Am,Billie Eilish,2021
For The Night,Pop Smoke Featuring Lil Baby & DaBaby,2021
Whoopty,CJ,2021
Back In Blood,Pooh Shiesty Featuring Lil Durk,2021
Holy,Justin Bieber Featuring Chance The Rapper,2021
Good Days,SZA,2021
I Hope,Gabby Barrett Featuring Charlie Puth,2021
Better Together,Luke Combs,2021
Dakiti,Bad Bunny & Jhay Cortez,2021
Lonely,Justin Bieber & benny blanco,2021
You Broke Me First.,Tate McRae,2021
You're Mines Still,Yung Bleu Featuring Drake,2021
Willow,Taylor Swift,2021
Body,Megan Thee Stallion,2021
Streets,Doja Cat,2021
Anyone,Justin Bieber,2021
My Ex's Best Friend,Machine Gun Kelly X blackbear,2021
Throat Baby (Go Baby),BRS Kash,2021
Bang!,AJR,2021
On Me,Lil Baby,2021
Before You Go,Lewis Capaldi,2021
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,2021
Good Time,Niko Moon,2021
Laugh Now Cry Later,Drake Featuring Lil Durk,2021
Starting Over,Chris Stapleton,2021
Best Friend,Saweetie Featuring Doja Cat,2021
Put Your Records On,Ritt Momney,2021
Just The Way,Parmalee x Blanco Brown,2021
Cry Baby,Megan Thee Stallion Featuring DaBaby,2021
Beers And Sunshine,Darius Rucker,2021
Without You,The Kid LAROI,2021
Damage,H.E.R.,2021
Dynamite,BTS,2021
Down To One,Luke Bryan,2021
Buss It,Erica Banks,2021
Long Live,Florida Georgia Line,2021
We're Good,Dua Lipa,2021
Time Today,Moneybagg Yo,2021
What It Feels Like,Nipsey Hussle & JAY-Z,2021
Hole In The Bottle,Kelsea Ballerini,2021
Wasted On You,Morgan Wallen,2021
Beat Box,SpotemGottem,2021
The Good Ones,Gabby Barrett,2021
What's Your Country Song,Thomas Rhett,2021
Sand In My Boots,Morgan Wallen,2021
Golden,Harry Styles,2021
Monsters,All Time Low Featuring Demi Lovato & blackbear ,2021
Goosebumps,Travis Scott & HVME,2021
